ID,Project,Website,Product,Short_Name,Description,Access,Notebook,Format,Category,Start,End,Region,Coordinate,Spatial Resolution,Temporal Resolution,Released,Polygon,Variables,DOI,Released.1,Theme1,Theme2,Theme3,EO_Missions
0,4dHydro,https://4dhydro.eu,PARFLOWCLM 0.0055 degree evapotranspiration for Rhine River  (2013-01-02 - 2013-01-31),parflowclm_hres_et_rhine_0p0055deg_daily_20130102_20130131,PARFLOWCLM 0.0055 degree evapotranspiration output for the Rhine River region between 2013-01-02 and 2013-01-31,https://datapub.fz-juelich.de/slts/4DHydro/data_parflowclm_rhine//parflowclm_hres_et_rhine_0p0055deg_daily_20130102_20130131.nc,,NetCDF,,2013-01-02,2013-01-31,rhine,WGS84,0.0055 degree,daily,2023-10-18,"[[[3,46],[12,46],[12,53],[3,53],[3,46]]]",evapotranspiration,,,land,,,
1,4dHydro,https://4dhydro.eu,PARFLOWCLM 0.0055 degree evapotranspiration for Rhine River  (2013-02-01 - 2013-02-28),parflowclm_hres_et_rhine_0p0055deg_daily_20130201_20130228,PARFLOWCLM 0.0055 degree evapotranspiration output for the Rhine River region between 2013-02-01 and 2013-02-28,https://datapub.fz-juelich.de/slts/4DHydro/data_parflowclm_rhine//parflowclm_hres_et_rhine_0p0055deg_daily_20130201_20130228.nc,,NetCDF,,2013-02-01,2013-02-28,rhine,WGS84,0.0055 degree,daily,2023-10-18,"[[[3,46],[12,46],[12,53],[3,53],[3,46]]]",evapotranspiration,,,land,,,
2,4dHydro,https://4dhydro.eu,PARFLOWCLM 0.0055 degree evapotranspiration for Rhine River  (2013-03-01 - 2013-03-31),parflowclm_hres_et_rhine_0p0055deg_daily_20130301_20130331,PARFLOWCLM 0.0055 degree evapotranspiration output for the Rhine River region between 2013-03-01 and 2013-03-31,https://datapub.fz-juelich.de/slts/4DHydro/data_parflowclm_rhine//parflowclm_hres_et_rhine_0p0055deg_daily_20130301_20130331.nc,,NetCDF,,2013-03-01,2013-03-31,rhine,WGS84,0.0055 degree,daily,2023-10-18,"[[[3,46],[12,46],[12,53],[3,53],[3,46]]]",evapotranspiration,,,land,,,
3,4dHydro,https://4dhydro.eu,PARFLOWCLM 0.0055 degree evapotranspiration for Rhine River  (2013-04-01 - 2013-04-30),parflowclm_hres_et_rhine_0p0055deg_daily_20130401_20130430,PARFLOWCLM 0.0055 degree evapotranspiration output for the Rhine River region between 2013-04-01 and 2013-04-30,https://datapub.fz-juelich.de/slts/4DHydro/data_parflowclm_rhine//parflowclm_hres_et_rhine_0p0055deg_daily_20130401_20130430.nc,,NetCDF,,2013-04-01,2013-04-30,rhine,WGS84,0.0055 degree,daily,2023-10-18,"[[[3,46],[12,46],[12,53],[3,53],[3,46]]]",evapotranspiration,,,land,,,
4,4dHydro,https://4dhydro.eu,PARFLOWCLM 0.0055 degree evapotranspiration for Rhine River  (2013-05-01 - 2013-05-31),parflowclm_hres_et_rhine_0p0055deg_daily_20130501_20130531,PARFLOWCLM 0.0055 degree evapotranspiration output for the Rhine River region between 2013-05-01 and 2013-05-31,https://datapub.fz-juelich.de/slts/4DHydro/data_parflowclm_rhine//parflowclm_hres_et_rhine_0p0055deg_daily_20130501_20130531.nc,,NetCDF,,2013-05-01,2013-05-31,rhine,WGS84,0.0055 degree,daily,2023-10-18,"[[[3,46],[12,46],[12,53],[3,53],[3,46]]]",evapotranspiration,,,land,,,
5,4dHydro,https://4dhydro.eu,PARFLOWCLM 0.0055 degree evapotranspiration for Rhine River  (2013-06-01 - 2013-06-30),parflowclm_hres_et_rhine_0p0055deg_daily_20130601_20130630,PARFLOWCLM 0.0055 degree evapotranspiration output for the Rhine River region between 2013-06-01 and 2013-06-30,https://datapub.fz-juelich.de/slts/4DHydro/data_parflowclm_rhine//parflowclm_hres_et_rhine_0p0055deg_daily_20130601_20130630.nc,,NetCDF,,2013-06-01,2013-06-30,rhine,WGS84,0.0055 degree,daily,2023-10-18,"[[[3,46],[12,46],[12,53],[3,53],[3,46]]]",evapotranspiration,,,land,,,
6,4dHydro,https://4dhydro.eu,PARFLOWCLM 0.0055 degree evapotranspiration for Rhine River  (2013-07-01 - 2013-07-31),parflowclm_hres_et_rhine_0p0055deg_daily_20130701_20130731,PARFLOWCLM 0.0055 degree evapotranspiration output for the Rhine River region between 2013-07-01 and 2013-07-31,https://datapub.fz-juelich.de/slts/4DHydro/data_parflowclm_rhine//parflowclm_hres_et_rhine_0p0055deg_daily_20130701_20130731.nc,,NetCDF,,2013-07-01,2013-07-31,rhine,WGS84,0.0055 degree,daily,2023-10-18,"[[[3,46],[12,46],[12,53],[3,53],[3,46]]]",evapotranspiration,,,land,,,
7,4dHydro,https://4dhydro.eu,PARFLOWCLM 0.0055 degree evapotranspiration for Rhine River  (2013-08-01 - 2013-08-31),parflowclm_hres_et_rhine_0p0055deg_daily_20130801_20130831,PARFLOWCLM 0.0055 degree evapotranspiration output for the Rhine River region between 2013-08-01 and 2013-08-31,https://datapub.fz-juelich.de/slts/4DHydro/data_parflowclm_rhine//parflowclm_hres_et_rhine_0p0055deg_daily_20130801_20130831.nc,,NetCDF,,2013-08-01,2013-08-31,rhine,WGS84,0.0055 degree,daily,2023-10-18,"[[[3,46],[12,46],[12,53],[3,53],[3,46]]]",evapotranspiration,,,land,,,
8,4dHydro,https://4dhydro.eu,PARFLOWCLM 0.0055 degree evapotranspiration for Rhine River  (2013-09-01 - 2013-09-30),parflowclm_hres_et_rhine_0p0055deg_daily_20130901_20130930,PARFLOWCLM 0.0055 degree evapotranspiration output for the Rhine River region between 2013-09-01 and 2013-09-30,https://datapub.fz-juelich.de/slts/4DHydro/data_parflowclm_rhine//parflowclm_hres_et_rhine_0p0055deg_daily_20130901_20130930.nc,,NetCDF,,2013-09-01,2013-09-30,rhine,WGS84,0.0055 degree,daily,2023-10-18,"[[[3,46],[12,46],[12,53],[3,53],[3,46]]]",evapotranspiration,,,land,,,
9,4dHydro,https://4dhydro.eu,PARFLOWCLM 0.0055 degree evapotranspiration for Rhine River  (2013-10-01 - 2013-10-31),parflowclm_hres_et_rhine_0p0055deg_daily_20131001_20131031,PARFLOWCLM 0.0055 degree evapotranspiration output for the Rhine River region between 2013-10-01 and 2013-10-31,https://datapub.fz-juelich.de/slts/4DHydro/data_parflowclm_rhine//parflowclm_hres_et_rhine_0p0055deg_daily_20131001_20131031.nc,,NetCDF,,2013-10-01,2013-10-31,rhine,WGS84,0.0055 degree,daily,2023-10-18,"[[[3,46],[12,46],[12,53],[3,53],[3,46]]]",evapotranspiration,,,land,,,
